,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,gbr31
0,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A32CMQGGTSUK6Z,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
1,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AST33WVZ5QC05,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
2,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AZYL4DXPS3AK4,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-2,-0.27845901526052824
3,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A4SKTCPDTV550,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
4,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AVAQ4AJU45K1U,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
5,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AAXYYH9MI3PJM,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
6,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3FSI6EIB1M6YR,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
7,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A20WD8YXVUQCQX,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
8,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3JJXEVEPU8V9J,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
9,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3GM27YVNOYZIW,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
10,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AL49DDQNUF01M,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
11,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1CO67KW9NQ5NV,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
12,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3UWM3KJYEL5XU,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
13,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AZF0WGPL5SL76,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
14,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3AJR1PM02424Y,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
15,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A6IVYRP8FAIS,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
16,26R746OQ1SNQ6NNL34W1XKCN8BY4OI,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2IYAOQ0BY5EYD,com.yobonja.blastmonkeysfree,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
17,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AIUKV0KVALMY6,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
18,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A32CMQGGTSUK6Z,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,-0.27845901526052824
19,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A12TIM3OYMOVWT,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,-0.27845901526052824
20,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AP1C3ZE41AMH1,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
21,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1JRV4XD6CG12W,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,-0.27845901526052824
22,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2OW2CIT4H7364,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
23,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A4SKTCPDTV550,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
24,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3C7SA7ADVLG3W,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,-0.27845901526052824
25,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AAXYYH9MI3PJM,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,-0.27845901526052824
